CNT    X            Y            AluOp Result       Result2      OF    UOF   EQ
00     ff00ffff     00000007     0     807fff80     00000000     0     0     0
01     ff00ffff     ff00ffff     0     80000000     00000000     0     0     1
02     ff000000     00000018     1     ffffffff     00000000     0     0     0
03     ff00ffff     00000018     2     000000ff     00000000     0     0     0
04     7fffffff     00000010     3     fffffff0     00000007     0     0     0
05     fffffffe     00000010     4     0fffffff     0000000e     0     0     0
06     0000ffff     00000080     5     0001007f     00000000     0     0     0
07     ffffffff     ffffffff     5     fffffffe     00000000     0     1     1
08     7fffffff     0000000c     5     8000000b     00000000     1     0     0
09     80000000     80000000     5     00000000     00000000     1     1     1
0a     7ff00000     0000007c     6     7fefff84     00000000     0     0     0
0b     0000007c     7ff00000     6     8010007c     00000000     0     1     0
0c     80000000     00000001     6     7fffffff     00000000     1     0     0
0d     7fffffff     fffffffe     6     80000001     00000000     1     1     0
0e     ff00ffff     00000018     7     00000018     00000000     0     0     0
0f     7fffffff     00000074     8     7fffffff     00000000     0     0     0
